Model Number;Model Type;Preset;Accuracy % (Validation);Total Cost (Validation);Accuracy % (Test);Total Cost (Test);Error Rate % (Validation);Macro Precision % (Validation);Micro Precision % (Validation);Weighted Precision % (Validation);Macro Recall % (Validation);Micro Recall % (Validation);Weighted Recall % (Validation);Macro F1 Score % (Validation);Micro F1 Score % (Validation);Weighted F1 Score % (Validation);Error Rate % (Test);Macro Precision % (Test);Micro Precision % (Test);Weighted Precision % (Test);Macro Recall % (Test);Micro Recall % (Test);Weighted Recall % (Test);Macro F1 Score % (Test);Micro F1 Score % (Test);Weighted F1 Score % (Test);Prediction Speed (obs/sec);Training Time (sec);Model Size (bytes);Hyperparameters;;;;;;;;;;;
9,2;KNN;Medium KNN;99,66;116;99,68;28;0,34;99,66;99,66;99,66;99,66;99,66;99,66;99,66;99,66;99,66;0,32;99,68;99,68;99,68;99,68;99,68;99,68;99,68;99,68;99,68;1107,970263;2019,08;12451466;Number of neighbors: 10;;;;;;;;;;;
9,3;KNN;Coarse KNN;97,77;771;98,63;118;2,23;97,77;97,77;97,77;97,77;97,77;97,77;97,77;97,77;97,77;1,37;98,63;98,63;98,63;98,63;98,63;98,63;98,63;98,63;98,63;1331,386489;2018,03;12451466;Number of neighbors: 100;;;;;;;;;;;
9,4;KNN;Cosine KNN;99,69;107;99,71;25;0,31;99,69;99,69;99,69;99,69;99,69;99,69;99,69;99,69;99,69;0,29;99,71;99,71;99,71;99,71;99,71;99,71;99,71;99,71;99,71;1409,259821;2016,72;12451454;Number of neighbors: 10;;;;;;;;;;;
9,5;KNN;Cubic KNN;99,48;178;99,48;45;0,52;99,48;99,48;99,48;99,48;99,48;99,48;99,48;99,48;99,48;0,52;99,48;99,48;99,48;99,48;99,48;99,48;99,48;99,48;99,48;225,7299149;2015,70;12451482;Number of neighbors: 10;;;;;;;;;;;
9,6;KNN;Weighted KNN;99,75;88;99,73;23;0,25;99,75;99,75;99,75;99,75;99,75;99,75;99,75;99,75;99,75;0,27;99,73;99,73;99,73;99,73;99,73;99,73;99,73;99,73;99,73;1106,191589;2014,63;12451484;Number of neighbors: 10;;;;;;;;;;;
10,1;Kernel;SVM Kernel;99,77;78;99,66;29;0,23;99,77;99,77;99,77;99,77;99,77;99,77;99,77;99,77;99,77;0,34;99,67;99,66;99,67;99,66;99,66;99,66;99,66;99,66;99,66;2679,665526;1822,93;193052;Learner: SVM;;;;;;;;;;;
10,2;Kernel;Logistic Regression Kernel;99,05;330;99,34;57;0,95;99,05;99,05;99,05;99,05;99,05;99,05;99,04;99,05;99,04;0,66;99,34;99,34;99,34;99,34;99,34;99,34;99,34;99,34;99,34;2507,491293;1630,32;193304;Learner: Logistic Regression;;;;;;;;;;;
11,1;Ensemble;Boosted Trees;99,70;104;99,92;7;0,30;99,70;99,70;99,70;99,70;99,70;99,70;99,70;99,70;99,70;0,08;99,92;99,92;99,92;99,92;99,92;99,92;99,92;99,92;99,92;31365,62159;1627,50;483942;Ensemble method: AdaBoost;;;;;;;;;;;
11,2;Ensemble;Bagged Trees;99,98;7;99,91;8;0,02;99,98;99,98;99,98;99,98;99,98;99,98;99,98;99,98;99,98;0,09;99,91;99,91;99,91;99,91;99,91;99,91;99,91;99,91;99,91;35573,27266;1626,26;958358;Ensemble method: Bag;;;;;;;;;;;
11,3;Ensemble;Subspace Discriminant;64,25;12356;64,05;3106;35,75;64,21;64,25;64,21;64,25;64,25;64,25;64,21;64,25;64,21;35,95;63,96;64,05;63,96;64,05;64,05;64,05;63,97;64,05;63,97;7054,035113;1371,97;482548;Ensemble method: Subspace;;;;;;;;;;;
11,4;Ensemble;Subspace KNN;68,36;10934;73,70;2272;31,64;68,47;68,36;68,47;68,36;68,36;68,36;68,41;68,36;68,41;26,30;73,69;73,70;73,69;73,70;73,70;73,70;73,69;73,70;73,69;627,0472214;2508,81;199258026;Ensemble method: Subspace;;;;;;;;;;;
11,5;Ensemble;RUSBoosted Trees;78,41;7460;78,72;1839;21,59;80,16;78,41;80,16;78,41;78,41;78,41;78,26;78,41;78,26;21,28;81,12;78,72;81,12;78,72;78,72;78,72;78,33;78,72;78,33;44593,85335;98,08;483942;Ensemble method: RUSBoost;;;;;;;;;;;
12,1;Neural Network;Narrow Neural Network;99,87;45;99,80;17;0,13;99,87;99,87;99,87;99,87;99,87;99,87;99,87;99,87;99,87;0,20;99,80;99,80;99,80;99,80;99,80;99,80;99,80;99,80;99,80;146509,7114;256,19;15409;Number of fully connected layers: 1;;;;;;;;;;;
12,2;Neural Network;Medium Neural Network;99,90;36;99,87;11;0,10;99,90;99,90;99,90;99,90;99,90;99,90;99,90;99,90;99,90;0,13;99,87;99,87;99,87;99,87;99,87;99,87;99,87;99,87;99,87;137140,7347;100,45;21049;Number of fully connected layers: 1;;;;;;;;;;;
12,3;Neural Network;Wide Neural Network;99,91;30;99,88;10;0,09;99,91;99,91;99,91;99,91;99,91;99,91;99,91;99,91;99,91;0,12;99,88;99,88;99,88;99,88;99,88;99,88;99,88;99,88;99,88;122108,664;336,56;49249;Number of fully connected layers: 1;;;;;;;;;;;
12,4;Neural Network;Bilayered Neural Network;99,80;68;99,77;20;0,20;99,80;99,80;99,80;99,80;99,80;99,80;99,80;99,80;99,80;0,23;99,77;99,77;99,77;99,77;99,77;99,77;99,77;99,77;99,77;141056,2731;311,83;17181;Number of fully connected layers: 2;;;;;;;;;;;
12,5;Neural Network;Trilayered Neural Network;99,79;73;99,77;20;0,21;99,79;99,79;99,79;99,79;99,79;99,79;99,79;99,79;99,79;0,23;99,77;99,77;99,77;99,77;99,77;99,77;99,77;99,77;99,77;172028,8805;301,26;18953;Number of fully connected layers: 3;;;;;;;;;;;
