2797,013;5582
2798,013;53
2799,013;65
2800,013;63
2801,013;66
2802,013;72
2803,013;10206
2804,013;49
2805,013;68
2806,013;63
2807,013;65
2808,013;69
2809,013;11138
2810,013;71
2811,013;62
2812,013;77
2813,013;86
2814,013;69
2815,013;11305
2816,013;69
2817,013;69
2818,013;78
2819,013;87
2820,013;59
2821,013;11358
2822,013;70
2823,013;67
2824,013;77
2825,013;57
2826,013;73
2827,013;11362
2828,013;67
2829,013;62
2830,013;68
2830,826;76
2831,826;57
2832,826;11293
2833,826;58
2834,826;73
2835,826;59
2836,826;70
2837,826;84
2838,826;11340
2839,826;82
2840,826;62
2841,826;75
2842,826;78
2843,826;68
2844,826;11350
2845,826;58
2846,826;76
2847,826;49
2848,826;71
2849,826;77
2850,826;11328
2851,826;55
2852,826;68
2853,826;59
2854,826;76
2855,826;88
2856,826;11354
2857,826;51
2858,826;85
2859,826;60
2860,826;66
2861,826;76
2862,826;11295
2863,826;64
2864,826;59
2865,826;75
2866,826;74
2867,826;82
2868,826;11340
2869,826;81
2870,826;64
2871,826;82
2872,826;77
2873,826;78
2874,826;11290
2875,826;59
2876,826;67
2877,826;64
2878,826;58
2879,826;71
2880,826;11298
2881,826;62
2882,826;77
2883,826;60
2884,826;72
2885,826;88
2886,826;11313
2887,826;61
2888,826;70
2889,826;73
2890,826;68
2891,826;68
2892,826;11302
2893,826;61
2894,826;84
2895,826;62
2896,826;71
2897,826;75
2898,826;11297
2899,826;53
2900,826;76
2901,826;71
2902,826;71
2903,826;77
2904,826;11290
2905,826;76
2906,826;69
2907,826;75
2908,826;66
2909,826;97
2910,826;11271
2911,826;64
2912,826;72
2913,826;54
2914,826;78
2915,826;80
2916,826;11300
2917,826;65
2918,826;64
2919,826;59
2920,826;64
2921,826;80
2922,826;11204
2923,826;54
2924,826;79
2925,826;67
2926,826;67
2927,826;78
2928,826;11267
2929,826;69
2930,826;60
2932,18;64
2933,18;96
2934,18;61
2935,18;11295
2936,18;61
2937,18;65
2938,18;56
2939,18;60
2940,18;91
2941,18;11253
2942,18;68
2943,18;69
2944,18;83
2945,18;66
2946,18;82
2947,18;11276
2948,18;60
2949,18;74
2950,18;61
2951,18;70
2952,18;69
2953,18;11255
2954,18;66
2955,18;67
2956,18;83
2957,18;61
2958,18;77
2959,18;11275
2960,18;61
2961,18;71
2962,18;64
2963,18;89
2964,18;79
2965,18;11214
2966,18;75
2967,18;71
2968,18;60
2969,18;62
2970,18;88
2971,18;11236
2972,18;63
2973,18;69
2974,18;70
2975,18;80
2976,18;67
2977,18;11245
2978,18;57
2979,18;65
2980,18;65
2981,18;88
2982,18;70
2983,18;11273
2984,18;63
2985,18;62
2986,18;73
2987,18;66
2988,18;70
2989,18;11264
2990,18;65
2991,18;69
2992,18;78
2993,18;81
2994,18;75
2995,18;11238
2996,18;68
2997,18;60
2998,18;78
2999,18;64
3000,18;69
3001,18;11262
3002,18;84
3003,18;67
3004,18;73
3005,18;76
3006,18;60
3007,18;11253
3008,18;53
3009,18;58
3010,18;57
3011,18;83
3012,18;62
3013,18;11255
3014,18;71
3015,18;72
3016,18;66
3017,18;73
3018,18;56
3019,18;11264
3020,18;65
3021,18;49
3022,18;63
3023,18;66
3024,18;72
3025,18;11271
3026,18;68
3027,18;63
3028,18;53
3029,18;77
3030,18;69
3031,18;11240
3032,18;57
3033,1;60
3034,1;70
3035,1;68
3036,1;72
3037,1;11246
3038,1;63
3039,1;65
3040,1;73
3041,1;60
3042,1;64
3043,1;11241
3044,1;49
3045,1;44
3046,1;63
3047,1;73
3048,1;62
3049,1;11232
3050,1;61
3051,1;52
3052,1;62
3053,1;54
3054,1;71
3055,1;11257
3056,1;51
3057,1;56
3058,1;68
3059,1;52
3060,1;48
3061,1;11239
3062,1;60
3063,1;61
3064,1;53
3065,1;54
3066,1;69
3067,1;11265
3068,1;56
3069,1;45
3070,1;55
3071,1;58
3072,1;59
3073,1;11244
3074,1;59
3075,1;51
3076,1;62
3077,1;56
3078,1;63
3079,1;11220
3080,1;49
3081,1;55
3082,1;45
3083,1;46
3084,1;49
3085,1;11233
3086,1;51
3087,1;59
3088,1;71
3089,1;57
3090,1;49
3091,1;11242
3092,1;51
3093,1;42
3094,1;52
3095,1;54
3096,1;54
3097,1;11263
3098,1;41
3099,1;60
3100,1;52
3101,1;54
3102,1;41
3103,1;11221
3104,1;55
3105,1;50
3106,1;43
3107,1;55
3108,1;54
3109,1;10930
3110,1;51
3111,1;65
3112,1;59
3113,1;46
3114,1;51
3115,1;11158
3116,1;63
3117,1;69
3118,1;54
3119,1;51
3120,1;64
3121,1;11237
3122,1;50
3123,1;55
3124,1;59
3125,1;60
3126,1;61
3127,1;11259
3128,1;48
3129,1;60
3130,1;59
3131,1;54
3132,1;60
3133,1;11261
3134,12;46
3135,12;51
3136,12;56
3137,12;72
3138,12;53
3139,12;11245
3140,12;55
3141,12;41
3142,12;50
3143,12;51
3144,12;57
3145,12;11235
3146,12;62
3147,12;64
3148,12;66
3149,12;58
3150,12;68
3151,12;11239
3152,12;55
3153,12;62
3154,12;55
3155,12;58
3156,12;62
3157,12;11189
3158,12;51
3159,12;61
3160,12;51
3161,12;66
3162,12;64
3163,12;11216
3164,12;74
3165,12;61
3166,12;66
3167,12;58
3168,12;72
3169,12;11225
3170,12;57
3171,12;58
3172,12;65
3173,12;72
3174,12;68
3175,12;11257
3176,12;52
3177,12;51
3178,12;61
3179,12;66
3180,12;62
3181,12;11211
3182,12;70
3183,12;68
3184,12;50
3185,12;58
3186,12;82
3187,12;11225
3188,12;50
3189,12;72
3190,12;48
3191,12;52
3192,12;74
3193,12;11256
3194,12;68
3195,12;70
3196,12;55
3197,12;68
3198,12;85
3199,12;11216
3200,12;56
3201,12;78
3202,12;62
3203,12;70
3204,12;69
3205,12;11224
3206,12;63
3207,12;70
3208,12;60
3209,12;77
3210,12;75
3211,12;11254
3212,12;75
3213,12;63
3214,12;52
3215,12;73
3216,12;78
3217,12;11224
3218,12;75
3219,12;82
3220,12;62
3221,12;77
3222,12;68
3223,12;11212
3224,12;63
3225,12;67
3226,12;76
3227,12;75
3228,12;80
3229,12;11237
3230,12;75
3231,12;82
3232,12;68
3233,12;78
3234,12;74
3235,12;11212
3236,12;64
3237,12;67
3238,12;70
3239,12;77
3240,12;66
3241,12;11254
3242,12;76
3243,12;63
3244,12;72
3245,12;92
3246,12;68
3247,12;11246
3248,12;63
3249,12;55
3250,12;99
3251,12;77
3252,12;69
3253,12;11206
3254,12;70
3255,12;73
3256,12;77
3257,12;62
3258,12;73
3259,12;11190
3260,12;62
3261,12;74
3262,12;85
3263,12;80
3264,12;78
3265,12;11261
3266,12;65
3267,12;68
3268,12;60
3269,12;75
3270,12;70
3271,12;11209
3272,12;90
3273,12;80
3274,12;80
3275,12;76
3276,12;73
3277,12;11223
3278,12;70
3279,12;60
3280,12;62
3281,12;78
3282,12;55
3283,12;11221
3284,12;61
3285,12;65
3286,12;61
3287,12;79
3288,12;69
3289,12;11251
3290,12;62
3291,12;60
3292,12;70
3293,12;58
3294,12;82
3295,12;11238
3296,12;77
3297,12;72
3298,12;72
3299,12;50
3300,12;85
3301,12;11249
3302,12;66
3303,12;64
3304,12;72
3305,12;64
3306,12;80
3307,12;11245
3308,12;47
3309,12;74
3310,12;66
3311,12;81
3312,12;80
3313,12;11205
3314,12;65
3315,12;62
3316,12;68
3317,12;71
3318,12;86
3319,12;11208
3320,12;70
3321,12;62
3322,12;80
3323,12;97
3324,12;55
3325,12;11215
3326,12;73
3327,12;68
3328,12;61
3329,12;78
3330,12;78
3331,12;11260
3332,12;65
3333,12;68
3334,12;76
3335,12;68
3336,096;73
3337,096;11205
3338,096;72
3339,096;87
3340,096;60
3341,096;75
3342,096;72
3343,096;11205
3344,096;67
3345,096;63
3346,096;68
3347,096;62
3348,096;71
3349,096;11229
3350,096;81
3351,096;77
3352,096;77
3353,096;78
3354,096;68
3355,096;11208
3356,096;64
3357,096;72
3358,096;69
