2839,861;63
2840,861;5338
2841,861;69
2842,861;71
2843,861;72
2844,861;69
2845,861;87
2846,861;9988
2847,861;80
2848,861;70
2849,861;54
2850,861;78
2851,861;265
2852,861;10775
2853,861;66
2854,861;65
2855,861;68
2856,861;65
2857,861;485
2858,861;10689
2859,861;66
2860,861;64
2861,861;70
2862,861;56
2863,861;522
2864,861;10694
2865,861;65
2866,861;75
2867,861;61
2868,861;71
2869,861;529
2870,861;10666
2871,861;61
2872,861;81
2873,861;60
2874,861;72
2875,861;524
2876,861;10704
2877,861;57
2878,861;71
2879,861;72
2880,861;67
2881,861;562
2882,861;10664
2883,861;57
2884,861;60
2885,861;72
2886,861;83
2887,861;564
2888,861;10671
2889,861;55
2890,861;62
2891,861;61
2892,861;94
2893,861;548
2894,861;10634
2895,861;78
2896,861;56
2897,861;75
2898,861;67
2899,861;538
2900,861;10654
2901,861;54
2902,861;68
2903,861;66
2904,861;78
2905,861;673
2906,861;10535
2907,861;78
2908,861;65
2909,861;80
2910,861;58
2911,861;560
2912,861;10650
2913,861;78
2914,861;82
2915,861;69
2916,861;63
2917,861;537
2918,861;10656
2919,861;70
2920,861;53
2921,861;75
2922,861;85
2923,861;550
2924,861;10626
2925,861;71
2926,861;62
2927,861;68
2928,861;88
2929,861;542
2930,861;10589
2931,753;78
2932,753;65
2933,753;64
2934,753;59
2935,753;550
2936,753;10639
2937,753;71
2938,753;71
2939,753;76
2940,753;73
2941,753;557
2942,753;10635
2943,753;73
2944,753;63
2945,753;75
2946,753;78
2947,753;560
2948,753;10597
2949,753;61
2950,753;66
2951,753;64
2952,753;57
2953,753;534
2954,753;10619
2955,753;63
2956,753;48
2957,753;77
2958,753;66
2959,753;520
2960,753;10626
2961,753;67
2962,753;68
2963,753;77
2964,753;80
2965,753;535
2966,753;10558
2967,753;58
2968,753;77
2969,753;64
2970,753;85
2971,753;551
2972,753;10611
2973,753;54
2974,753;69
2975,753;74
2976,753;65
2977,753;521
2978,753;10601
2979,753;77
2980,753;55
2981,753;73
2982,753;86
2983,753;547
2984,753;10606
2985,753;54
2986,753;72
2987,753;66
2988,753;65
2989,753;621
2990,753;10497
2991,753;78
2992,753;86
2993,753;78
2994,753;71
2995,753;545
2996,753;10580
2997,753;71
2998,753;67
2999,753;82
3000,753;83
3001,753;580
3002,753;10555
3003,753;57
3004,753;80
3005,753;69
3006,753;88
3007,753;555
3008,753;10571
3009,753;66
3010,753;77
3011,753;62
3012,753;82
3013,753;547
3014,753;10609
3015,753;69
3016,753;65
3017,753;71
3018,753;66
3019,753;534
3020,753;10591
3021,753;68
3022,753;69
3023,753;68
3024,753;73
3025,753;536
3026,753;10607
3027,753;55
3028,753;67
3029,753;72
3030,753;69
3031,753;529
3033,901;10596
3034,901;74
3035,901;83
3036,901;65
3037,901;59
3038,901;543
3039,901;10569
3040,901;80
3041,901;88
3042,901;68
3043,901;68
3044,901;535
3045,901;10603
3046,901;67
3047,901;71
3048,901;67
3049,901;67
3050,901;519
3051,901;10596
3052,901;56
3053,901;75
3054,901;73
3055,901;68
3056,901;531
3057,901;10594
3058,901;66
3059,901;70
3060,901;87
3061,901;83
3062,901;533
3063,901;10587
3064,901;57
3065,901;71
3066,901;73
3067,901;52
3068,901;483
3069,901;10614
3070,901;59
3071,901;63
3072,901;46
3073,901;66
3074,901;517
3075,901;10585
3076,901;74
3077,901;66
