2795,562;4607
2796,562;1156
2797,562;72
2798,562;61
2799,562;70
2800,562;64
2801,562;9219
2802,562;1157
2803,562;75
2804,562;75
2805,562;65
2806,562;78
2807,562;10197
2808,562;1157
2809,562;67
2810,562;70
2811,562;70
2812,562;52
2813,562;10351
2814,562;1167
2815,562;64
2816,562;68
2817,562;67
2818,562;66
2819,562;10311
2820,562;1136
2821,562;63
2822,562;72
2823,562;53
2824,562;71
2825,562;10348
2826,562;1144
2827,562;64
2828,562;89
2830,273;83
2831,273;74
2832,273;10387
2833,273;1145
2834,273;80
2835,273;69
2836,273;63
2837,273;57
2838,273;10365
2839,273;1164
2840,273;55
2841,273;90
2842,273;80
2843,273;76
2844,273;10327
2845,273;1162
2846,273;72
2847,273;60
2848,273;77
2849,273;74
2850,273;10381
2851,273;1095
2852,273;58
2853,273;63
2854,273;76
2855,273;72
2856,273;10337
2857,273;1149
2858,273;66
2859,273;70
2860,273;68
2861,273;78
2862,273;10329
2863,273;1144
2864,273;72
2865,273;63
2866,273;68
2867,273;72
2868,273;10335
2869,273;1157
2870,273;63
2871,273;73
2872,273;57
2873,273;86
2874,273;10317
2875,273;1175
2876,273;66
2877,273;74
2878,273;70
2879,273;75
2880,273;10342
2881,273;1168
2882,273;65
2883,273;79
2884,273;66
2885,273;83
2886,273;10341
2887,273;1167
2888,273;74
2889,273;76
2890,273;64
2891,273;78
2892,273;10312
2893,273;1151
2894,273;71
2895,273;75
2896,273;79
2897,273;78
2898,273;10301
2899,273;1175
2900,273;66
2901,273;66
2902,273;75
2903,273;68
2904,273;10296
2905,273;1151
2906,273;77
2907,273;78
2908,273;78
2909,273;82
2910,273;10301
2911,273;1148
2912,273;54
2913,273;74
2914,273;80
2915,273;84
2916,273;10276
2917,273;1179
2918,273;54
2919,273;78
2920,273;67
2921,273;66
2922,273;10284
2923,273;1177
2924,273;57
2925,273;91
2926,273;77
2927,273;69
2928,273;10288
2929,273;1165
2930,273;70
2931,548;80
2932,548;63
2933,548;74
2934,548;10283
2935,548;1171
2936,548;62
2937,548;87
2938,548;77
2939,548;77
2940,548;10347
2941,548;1118
2942,548;74
2943,548;68
2944,548;70
2945,548;72
2946,548;10285
2947,548;1172
2948,548;73
2949,548;66
2950,548;85
2951,548;81
2952,548;10274
2953,548;1162
2954,548;82
2955,548;65
2956,548;74
2957,548;77
2958,548;10295
2959,548;1173
2960,548;60
2961,548;57
2962,548;71
2963,548;79
2964,548;10384
